kelime_sayisi,link_sayisi,buyuk_harf_orani,supheli_kelime_sayisi,gonderici_puani,ek_var,spam
36,2,0.08,2,77,0,0
36,2,0.08,2,77,0,0
38,3,0.22,1,69,1,0
86,0,0.24,3,45,1,0
75,6,0.37,5,45,0,1
216,1,0.22,2,66,1,0
122,0,0.08,3,74,1,0
45,2,0.57,5,28,1,1
204,0,0.02,3,98,1,0
193,1,0.1,0,100,1,0
132,2,0.31,4,55,0,0
137,5,0.51,4,12,0,1
122,3,0.74,1,69,1,0
232,1,0.01,0,87,0,0
32,1,0.13,3,47,0,0
60,0,0.56,5,27,1,1
190,1,0.42,1,62,0,0
165,4,0.09,1,70,0,0
91,5,0.32,2,67,0,0
226,3,0.37,2,66,0,0
168,2,0.01,1,50,0,0
145,3,0.28,0,92,1,0
35,5,0.85,5,33,1,1
53,3,0.02,3,32,1,1
130,3,0.58,4,34,0,1
106,5,0.33,5,65,1,1
39,0,0.56,3,37,0,1
222,2,0.12,0,71,0,1
119,4,0.77,2,46,0,1
213,1,0.21,2,76,0,0
32,2,0.3,5,29,0,1
172,8,0.58,0,69,0,1
40,2,0.55,0,32,1,1
121,6,0.63,0,53,0,0
174,2,0.2,2,85,0,0
124,1,0.37,0,65,0,0
200,2,0.08,0,29,1,0
161,5,0.55,4,59,0,1
94,4,0.03,3,81,1,1
193,3,0.19,0,81,0,0
206,3,0.09,3,47,1,0
30,5,0.34,4,50,0,1
178,4,0.02,4,53,0,1
65,4,0.24,8,23,0,1
47,4,0.46,3,42,0,1
88,2,0.43,1,79,1,0
150,0,0.75,0,28,1,1
87,7,0.48,2,71,1,1
167,4,0.48,2,50,0,1
218,1,0.07,4,82,0,0
214,3,0.09,1,54,0,0
117,2,0.03,3,27,1,0
130,5,0.15,3,61,0,1
233,1,0.01,1,98,0,0
90,1,0.1,2,74,1,0
48,0,0.29,0,55,0,0
21,8,0.17,7,14,1,1
148,3,0.24,2,51,0,0
182,1,0.44,0,82,0,0
